Num_Acc;id_usager;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202200000592;1 098 311;812 926;A01;1;1;1;2;1980.0;5;1;-1;-1;0;0;-1
202200000592;1 098 313;812 928;B01;1;1;3;1;2005.0;2;0;-1;-1;0;0;-1
202200000593;1 098 305;812 921;A01;10;3;2;1;1984.0;5;0;-1;-1;1;9;1
202200000593;1 098 306;812 921;A01;1;1;1;2;1965.0;4;1;-1;-1;0;0;-1
202200000594;1 098 304;812 920;A01;1;1;1;1;1967.0;5;1;0;-1;-1; -1;-1
202200000594;1 098 307;812 922;B01;1;1;1;1;1990.0;4;1;0;-1;-1; -1;-1
202200000594;1 098 309;812 924;C01;1;1;4;2;2002.0;5;1;0;-1;-1; -1;-1
202200000595;1 098 308;812 923;B01;1;1;1;1;1994.0;1;1;-1;-1;0;0;-1
202200000595;1 098 310;812 925;A01;1;1;3;1;1978.0;1;2;6;-1;0;0;-1
202200000596;1 098 299;812 915;B01;1;1;1;2;2002.0;0;1;-1;-1;0;0;-1
202200000596;1 098 301;812 918;A01;1;1;3;1;1988.0;0;2;-1;-1;0;0;-1
202200000597;1 098 300;812 917;A01;1;1;4;1;1991.0;1;2;6;-1;-1; -1;-1
202200000597;1 098 302;812 919;B01;1;1;1;1;1980.0;4;1;0;-1;-1; -1;-1
202200000598;1 098 298;812 914;B01;1;1;4;1;1999.0;0;-1;-1;-1;0;0;-1
202200000598;1 098 303;812 916;A01;1;1;4;1;1964.0;4;-1;-1;-1;-1; -1;-1
202200000599;1 098 291;812 911;B01;2;2;1;2;2003.0;2;1;-1;-1;-1; -1;-1
202200000599;1 098 293;812 911;B01;1;1;4;2;2003.0;2;1;-1;-1;-1; -1;-1
202200000599;1 098 296;812 913;A01;1;1;1;1;1963.0;4;1;-1;-1;-1; -1;-1
202200000600;1 098 289;812 906;B01;1;1;3;2;1991.0;3;1;-1;-1;0;0;-1
202200000600;1 098 294;812 910;A01;1;1;1;1;1994.0;5;1;-1;-1;0;0;-1
202200000600;1 098 297;812 910;A01;2;2;4;1;1982.0;5;1;-1;-1;0;0;-1
202200000601;1 098 282;812 905;A01;1;1;1;1;2001.0;5;1;8;-1;0;0;-1
202200000601;1 098 284;812 905;A01;2;2;3;2;2003.0;5;1;8;-1;0;0;-1
202200000601;1 098 285;812 905;A01;2;2;1;1;1999.0;5;1;8;-1;0;0;-1
202200000601;1 098 286;812 907;B01;1;1;1;2;1960.0;5;1;8;-1;0;0;-1
202200000602;1 098 280;812 904;A01;1;1;3;1;1976.0;1;2;7;-1;0;0;-1
202200000603;1 098 281;812 903;A01;1;1;1;1;2004.0;5;1;0;-1;-1; -1;-1
202200000603;1 098 283;812 903;A01;10;3;3;2;2000.0;0;0;-1;-1;5;9;1
